Bib,Name,Country,Gender,Division,Division Rank,Overall Time,Overall Rank,Swim Time,Swim Rank,Bike Time,Bike Rank,Run Time,Run Rank,Finish Status
446,태욱 빈,Korea,Male,M45-49,27,12:21:22,167,1:25:56,193,6:15:59,257,4:24:23,140,Finisher
275,Sung Woo Han,Korea,Male,M40-44,37,12:21:25,168,1:32:42,317,6:52:00,413,3:37:35,27,Finisher
669,Yuyeon Hwang,Korea,Male,M60-64,6,12:21:36,169,1:41:19,435,5:37:53,110,4:54:09,261,Finisher
288,Kyun-Sam Kim,Korea,Male,M40-44,38,12:22:18,170,1:18:01,87,6:08:01,224,4:44:45,225,Finisher
525,Dongmin Lee,Korea,Male,M50-54,22,12:23:36,171,1:24:16,168,6:04:21,204,4:38:20,189,Finisher
159,정현 한,Korea,Male,M30-34,10,12:23:46,172,1:20:05,115,6:02:15,190,4:37:59,186,Finisher
460,태호 황,Korea,Male,M45-49,28,12:25:52,173,1:35:58,369,5:43:04,129,4:43:40,219,Finisher
549,윤 기현,Korea,Male,M50-54,23,12:27:27,174,1:15:44,58,5:44:28,132,5:11:58,325,Finisher
461,Jung Nam Kung,Korea,Female,F45-49,6,12:27:46,175,1:26:36,205,6:15:59,258,4:31:53,164,Finisher
451,창환 이,Korea,Male,M45-49,29,12:28:10,176,1:31:36,299,6:23:54,294,4:09:23,99,Finisher
466,Hea Jung Lee,Korea,Female,F45-49,7,12:28:13,177,1:22:52,147,6:17:54,269,4:35:32,175,Finisher
253,Narae Chung,Korea,Female,F35-39,6,12:30:04,178,1:13:53,45,6:22:16,285,4:41:02,207,Finisher
363,Seung Ho Baek,Korea,Male,M45-49,30,12:30:21,179,1:44:34,458,6:19:34,276,4:13:53,111,Finisher
204,Younghyoun Kim,Korea,Male,M35-39,31,12:30:42,180,1:10:46,29,5:59:14,180,5:06:32,311,Finisher
109,Aydar Zakirov,Kazakhstan,Male,M25-29,5,12:30:48,181,1:30:00,266,5:56:27,168,4:48:32,235,Finisher
361,Chulhyun An,Korea,Male,M45-49,31,12:31:23,182,1:11:30,32,6:17:54,270,4:43:10,215,Finisher
360,Ahn Seungjin,Korea,Male,M45-49,32,12:31:42,183,1:36:19,374,6:24:13,296,4:17:15,122,Finisher
221,Youngseung Park,Korea,Male,M35-39,32,12:32:38,184,1:27:18,213,6:29:17,321,4:21:34,133,Finisher
225,Katsuhisa Tamai,Japan,Male,M35-39,33,12:32:54,185,1:41:51,439,6:02:26,191,4:34:11,170,Finisher
312,Kyung Mook Park,Korea,Male,M40-44,39,12:33:55,186,1:26:17,198,6:29:46,322,4:22:15,134,Finisher
607,Seong Ku Kim,Korea,Male,M55-59,14,12:34:37,187,1:21:56,135,6:02:32,193,4:57:30,278,Finisher
519,Jung Mo Kim,Korea,Male,M50-54,24,12:34:45,188,1:33:41,336,6:25:23,306,4:21:29,132,Finisher
328,Liang Qiao?,China,Male,M40-44,40,12:35:02,189,1:30:13,271,6:14:39,250,4:28:54,157,Finisher
12,Benjamin Kufal,South Africa,Male,M30-34,11,12:35:37,190,1:11:40,35,5:52:12,152,5:17:03,343,Finisher
64,Seongil Hong,Korea,Male,M55-59,15,12:37:23,191,1:34:08,342,6:15:18,252,4:38:22,190,Finisher
156,규인 장,Korea,Male,M30-34,12,12:37:26,192,1:29:54,262,5:55:48,161,4:57:12,276,Finisher
674,Sangmyeong Kang,Korea,Male,M60-64,7,12:37:37,193,1:29:55,264,5:59:27,182,4:56:29,272,Finisher
426,Kihong Woo,Korea,Male,M45-49,33,12:38:22,194,1:33:00,325,5:46:32,137,5:03:04,301,Finisher
442,민규 박,Korea,Male,M45-49,34,12:38:28,195,1:31:02,288,6:14:15,248,4:38:56,193,Finisher
505,Jeong Jongseok,Korea,Male,M50-54,25,12:38:58,196,1:25:19,183,5:58:09,173,4:58:40,281,Finisher
680,Wonsung Kim,Korea,Male,M60-64,8,12:39:01,197,1:26:58,207,6:04:42,207,4:52:02,252,Finisher
551,경근 김,Korea,Male,M50-54,26,12:39:19,198,1:26:43,206,6:09:23,230,4:46:48,233,Finisher
195,Keon Hwang,Korea,Male,M35-39,34,12:39:24,199,1:33:19,327,6:03:23,198,4:49:05,239,Finisher
444,준규 박,Korea,Male,M45-49,35,12:39:45,200,1:23:28,154,6:04:06,200,4:58:47,282,Finisher
354,Yuha Kim,Korea,Female,F40-44,3,12:39:58,201,1:35:07,356,6:32:36,328,4:20:21,130,Finisher
